RANK,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FGM,FGA,FT%,FTM,FTA,3PM,PTS,REB,AST,STL,BLK,TO,TOTAL
13,20.1,Donovan Mitchell,PG/SG,CLE,67,33.7,0.468,9.1,19.5,0.866,4.6,5.4,3.3,26.2,4.4,5.4,1.6,0.4,2.8,7.9
14,27.3,Kyrie Irving,PG/SG,DAL,61,34.8,0.495,9.2,18.6,0.907,3.2,3.6,3,24.6,4.9,5.2,1.2,0.6,1.8,7.87
15,39.2,Kawhi Leonard,SF/PF,LAC,45,33,0.519,8.6,16.6,0.879,4.1,4.6,2,23.3,6.2,3.7,1.4,0.7,1.8,7.82
16,21.2,Kevin Durant,PF,PHO,65,35.2,0.52,9.5,18.3,0.846,4.6,5.5,2.1,25.7,6.4,4.8,0.8,1.2,3.2,7.67
17,12.9,LeBron James,SF/PF,LAL,67,34,0.535,9.4,17.6,0.758,4.3,5.6,2.1,25.2,7.2,8.2,1.1,0.5,3.3,7.5
18,20.6,Scottie Barnes,SG/SF/PF,TOR,70,34.8,0.479,7,14.5,0.791,3.5,4.4,1.7,18.1,8.3,5.5,1.3,1.5,2.4,7.32
19,27.5,Damian Lillard,PG,MIL,70,35.2,0.432,7.7,17.8,0.918,6.5,7,3.1,24.9,4.5,7.1,0.9,0.3,2.9,7.23
20,15.3,Devin Booker,PG/SG,PHO,68,35.1,0.49,9.9,20.1,0.873,5.9,6.8,2.2,27.8,4.5,5.5,1,0.4,2.7,7.2
21,39.2,LaMelo Ball,PG,CHA,65,32.4,0.427,8.2,19.2,0.857,3.2,3.7,3.6,23.2,5.7,8.6,1.6,0.3,3.5,7.16
22,11.9,Domantas Sabonis,PF/C,SAC,77,35.6,0.604,7.7,12.7,0.725,3.9,5.4,0.4,19.7,13,7.9,0.9,0.6,3.2,7.11
23,41.4,Lauri Markkanen,SF/PF,UTA,64,33.5,0.483,8.3,17.1,0.884,4.9,5.6,3.1,24.5,8.4,1.9,0.8,0.5,1.7,6.69
24,26.7,Chet Holmgren,C,OKC,75,30.6,0.53,6.5,12.2,0.793,2.8,3.5,1.7,17.4,8.1,2.6,0.7,2.3,1.7,6.62
25,43.7,Paul George,SF/PF,PHI,69,33.6,0.465,7.8,16.8,0.888,3.9,4.4,3,22.5,5.1,3.4,1.5,0.4,2.5,6.08
26,8.8,Anthony Edwards,SG/SF,MIN,79,35.4,0.46,9.3,20.3,0.823,5,6.1,2.5,26.2,5.5,5.2,1.4,0.7,3.1,6.07
27,37.4,Karl-Anthony Towns,PF/C,MIN,67,32.7,0.501,7.7,15.3,0.873,4.1,4.7,2.5,22.7,9.3,3.7,0.6,0.9,2.9,5.71
28,18.9,Jalen Brunson,PG,NY,74,34.9,0.484,9.5,19.6,0.839,5.2,6.1,2.6,26.8,3.6,6.5,0.9,0.2,2.3,5.39
29,61.1,Jimmy Butler,SG/SF/PF,MIA,60,33.1,0.492,6.5,13.2,0.855,6.9,8.1,0.8,20.7,5.4,5.1,1.3,0.3,1.6,5.32
30,92.4,Fred VanVleet,PG,HOU,70,36,0.406,5.7,14.1,0.874,3,3.4,2.9,17.3,3.7,7.6,1.4,0.7,1.8,4.86
31,66.1,Jaren Jackson Jr.,PF/C,MEM,68,30.2,0.471,7.3,15.5,0.8,4.5,5.6,1.7,20.7,6.2,1.7,1.1,1.8,2.1,4.72
32,32.7,Tyrese Maxey,PG/SG,PHI,70,36.2,0.462,8.5,18.4,0.858,4,4.7,3.0,24.9,3.2,5.9,0.9,0.3,1.5,4.66
33,26,De'Aaron Fox,PG,SAC,72,34.5,0.472,9.2,19.4,0.759,4.3,5.6,2.5,25.1,4.2,5.5,1.7,0.4,2.5,4.58
34,74.9,Derrick White,PG/SG,BOS,75,32.8,0.461,5.2,11.3,0.888,2.2,2.4,2.7,15.2,4.3,4.9,0.9,1.2,1.5,4.57
35,17.9,Ja Morant,PG,MEM,68,32.6,0.47,9.2,19.6,0.788,5.8,7.4,1.5,25.8,5.9,8.2,0.9,0.5,3,4.45
36,43.6,Evan Mobley,PF/C,CLE,68,32,0.573,6.5,11.4,0.726,2.6,3.6,0.4,16.1,9.2,3.4,0.9,1.5,1.8,4.45
37,40.7,Desmond Bane,SG/SF,MEM,68,32.8,0.472,7.7,16.4,0.877,3.1,3.5,2.9,21.4,4.5,4.4,1,0.4,2.3,4.33
38,52.4,Jalen Williams,PF,OKC,73,31.5,0.532,7.4,14,0.82,2.6,3.2,1.6,19.1,4.4,4.5,1.1,0.6,1.7,4.25
39,125.6,Jalen Johnson,PF,ATL,68,34.2,0.499,7,14,0.748,2.1,2.8,1.3,17.4,9.1,3.4,1.2,1,1.7,4.23
40,25.5,Dejounte Murray,PG/SG,NO,74,32,0.462,7.6,16.4,0.809,2.2,2.7,2.2,19.5,5.2,6.5,1.4,0.3,2.1,4.21
41,45.8,Jamal Murray,PG,DEN,61,31.7,0.471,7.6,16.1,0.841,2.7,3.2,2.5,20.4,4,6.3,1,0.5,2.2,4.19
