RANK,PLAYER,POS,TEAM,GP,MPG,FG%,FGM,FGA,FT%,FTM,FTA,3PM,PTS,REB,AST,STL,BLK,TO,TOTAL
18,LaMelo Ball,PG/SG,CHA,22,32.3,0.433,8.3,19.2,0.865,4.1,4.7,3.2,23.9,5.1,8,1.8,0.2,3.8,7.63
19,Damian Lillard,PG,MIL,73,35.3,0.424,7.4,17.5,0.92,6.5,7,3,24.3,4.4,7,1,0.2,2.6,7.62
20,Lauri Markkanen,SF/PF,UTA,55,33.1,0.48,7.8,16.2,0.899,4.5,5,3.2,23.2,8.2,2,0.9,0.5,1.4,7.53
21,Scottie Barnes,SG/SF/PF,TOR,60,34.9,0.475,7.5,15.7,0.782,3.3,4.2,1.7,19.9,8.2,6.1,1.3,1.5,2.8,7.52
22,Trae Young,PG,ATL,55,35.4,0.429,7.9,18.3,0.855,6.3,7.4,3.2,25.3,2.7,10.6,1.3,0.2,4.3,7.47
23,Domantas Sabonis,PF/C,SAC,82,35.7,0.594,7.7,13,0.704,3.6,5.1,0.4,19.4,13.7,8.2,0.9,0.6,3.3,7.28
24,James Harden,PG/SG,LAC,72,34.3,0.428,4.9,11.4,0.877,4.2,4.8,2.6,16.6,5.1,8.5,1.1,0.8,2.6,6.95
25,Giannis Antetokounmpo,PF/C,MIL,73,35.2,0.612,11.5,18.8,0.657,7,10.7,0.5,30.4,11.5,6.5,1.2,1.1,3.4,6.82
26,Chet Holmgren,PF/C,OKC,82,29.4,0.53,6.2,11.6,0.794,2.7,3.4,1.6,16.5,7.9,2.4,0.6,2.3,1.6,6.77
27,Jalen Brunson,PG,NY,77,35.4,0.479,10.3,21.4,0.848,5.5,6.5,2.7,28.7,3.6,6.7,0.9,0.2,2.4,6.72
28,Tyrese Maxey,PG/SG,PHI,70,37.5,0.449,9.1,20.3,0.869,4.7,5.4,3,25.9,3.7,6.2,1,0.5,1.7,6.54
29,Fred VanVleet,PG,HOU,73,36.8,0.415,5.8,14,0.86,2.7,3.1,3.1,17.4,3.8,8.1,1.4,0.8,1.7,6.37
30,Karl-Anthony Towns,PF/C,MIN,62,32.7,0.504,7.7,15.3,0.873,4.1,4.7,2.2,21.8,8.3,3,0.7,0.7,2.9,6.24
31,Anthony Edwards,SG/SF,MIN,79,35.1,0.461,9.1,19.7,0.835,5.4,6.4,2.4,25.9,5.4,5.1,1.3,0.5,3.1,6.17
32,Jimmy Butler,SF/PF,MIA,60,34,0.499,6.6,13.2,0.859,6.6,7.7,1,20.8,5.3,5,1.3,0.3,1.7,6.06
33,Desmond Bane,SG/SF,MEM,42,34.4,0.464,8.6,18.5,0.869,3.3,3.8,3.3,23.7,4.4,5.5,1,0.5,2.7,6.05
34,Jamal Murray,PG/SG,DEN,59,31.5,0.481,8,16.7,0.853,2.7,3.1,2.5,21.2,4.1,6.5,1,0.7,2.1,5.89
35,DeMar DeRozan,SG/SF/PF,CHI,79,37.8,0.48,8.2,17.2,0.853,6.6,7.8,1,24,4.3,5.3,1.1,0.6,1.7,5.8
36,De'Aaron Fox,PG,SAC,74,35.9,0.465,9.7,20.9,0.738,4.2,5.7,2.9,26.6,4.6,5.6,2,0.4,2.6,5.79
37,Derrick White,PG/SG,BOS,73,32.6,0.461,5.3,11.5,0.904,1.9,2.1,2.7,15.2,4.2,5.2,1,1.2,1.5,5.59
38,Ja Morant,PG,MEM,9,35.3,0.471,8.9,18.9,0.813,5.8,7.1,1.6,25.1,5.6,8.1,0.8,0.6,3,5.57
39,Dejounte Murray,PG/SG,ATL,78,35.7,0.459,8.6,18.8,0.795,2.7,3.4,2.6,22.5,5.3,6.4,1.4,0.3,2.6,4.97
40,Evan Mobley,PF/C,CLE,50,30.6,0.58,6.4,11,0.719,2.5,3.4,0.4,15.7,9.4,3.2,0.9,1.4,1.8,4.81
41,Jarrett Allen,C,CLE,77,31.7,0.633,6.7,10.6,0.743,3,4.1,0,16.5,10.5,2.7,0.7,1.1,1.6,4.79
42,Jaren Jackson Jr.,PF/C,MEM,66,32.2,0.444,7.8,17.6,0.809,5.1,6.3,1.8,22.5,5.5,2.3,1.2,1.6,2.4,4.73
43,Deandre Ayton,C,POR,55,32.4,0.57,7.8,13.6,0.819,1.2,1.4,0,16.7,11.1,1.6,1,0.8,1.8,4.73
44,Daniel Gafford,PF/C,DAL,74,24.5,0.725,4.7,6.5,0.674,1.6,2.4,0,11,7.6,1.6,0.9,2.1,1,4.66
45,Jalen Williams,SG/SF/PF,OKC,71,31.3,0.54,7.6,14,0.817,2.5,3.1,1.5,19.1,4,4.5,1.1,0.6,1.7,4.59
46,CJ McCollum,PG/SG,NO,66,32.7,0.459,7.3,16,0.825,1.7,2.1,3.6,20,4.3,4.6,0.9,0.6,1.7,4.37
47,Bam Adebayo,C,MIA,71,34,0.521,7.5,14.3,0.754,4.1,5.5,0.2,19.3,10.4,3.9,1.1,0.9,2.3,4.36
48,Cade Cunningham,PG/SG,DET,62,33.5,0.449,8.5,18.8,0.869,3.8,4.4,1.9,22.7,4.3,7.5,0.9,0.4,3.4,4.36
49,Myles Turner,C,IND,77,27,0.523,6.2,11.8,0.772,3.2,4.1,1.5,17.1,6.9,1.3,0.5,1.9,1.4,4.13
50,Brook Lopez,C,MIL,79,30.5,0.484,4.6,9.6,0.818,1.4,1.7,1.9,12.5,5.2,1.6,0.5,2.4,1,4.1
51,Rudy Gobert,C,MIN,76,34.1,0.663,5.3,8.1,0.639,3.3,5.1,0,14,12.9,1.3,0.7,2.1,1.6,3.98
52,Jalen Johnson,SF/PF,ATL,56,33.7,0.511,6.4,12.5,0.726,1.9,2.6,1.3,16,8.7,3.6,1.2,0.8,1.8,3.95
53,Nikola Vucevic,C,CHI,76,34.3,0.484,7.7,15.9,0.818,1.4,1.7,1.2,18,10.5,3.3,0.7,0.8,1.6,3.91
54,Tobias Harris,SF/PF,PHI,70,33.8,0.486,6.6,13.6,0.878,2.7,3,1.3,17.2,6.5,3.1,1,0.7,1.3,3.89
55,Alperen Sengün,C,HOU,63,32.5,0.537,8.4,15.6,0.692,3.9,5.6,0.5,21.1,9.3,5,1.2,0.7,2.6,3.75
56,Bradley Beal,PG/SG,PHO,53,33.3,0.513,7.1,13.9,0.814,2.1,2.5,1.9,18.2,4.4,5,1,0.5,2.5,3.74
57,Miles Bridges,SF/PF,CHA,69,37.4,0.462,8.1,17.5,0.824,2.5,3.1,2.3,21,7.3,3.3,0.9,0.5,2,3.49
58,D'Angelo Russell,PG/SG,LAL,76,32.7,0.455,6.5,14.2,0.826,2.1,2.5,3,18,3.1,6.3,0.9,0.5,2.1,3.44
59,Brandon Ingram,SG/SF/PF,NO,64,32.9,0.492,7.8,15.9,0.8,3.8,4.8,1.3,20.8,5.1,5.7,0.8,0.6,2.5,3.4
60,Jalen Duren,C,DET,61,29.1,0.618,5.7,9.3,0.788,2.3,3,0,13.8,11.6,2.4,0.5,0.8,2.1,3.4
61,Franz Wagner,SG/SF/PF,ORL,72,32.5,0.481,7.3,15.2,0.849,3.8,4.4,1.3,19.7,5.3,3.7,1.1,0.4,1.9,3.36
62,Terry Rozier,PG/SG,MIA,61,33.4,0.443,7.3,16.4,0.868,2.8,3.3,2.4,19.8,4,5.6,1,0.3,1.7,3.34
